Indicator,Country,Year,Tax (% of GDP
Taxes on Pollution,"Congo, Rep. of",2007,0
Taxes on Pollution,"Congo, Rep. of",2008,0
Taxes on Pollution,"Congo, Rep. of",2009,0
Taxes on Pollution,"Congo, Rep. of",2010,0
Taxes on Pollution,"Congo, Rep. of",2011,0
Taxes on Pollution,"Congo, Rep. of",2012,0
Taxes on Pollution,"Congo, Rep. of",2013,0
Taxes on Pollution,"Congo, Rep. of",2014,0
Taxes on Pollution,"Congo, Rep. of",2015,0
Taxes on Pollution,"Congo, Rep. of",2016,0
Taxes on Pollution,"Congo, Rep. of",2017,0
Taxes on Pollution,"Congo, Rep. of",2018,0
Taxes on Pollution,"Congo, Rep. of",2019,0
Taxes on Pollution,"Congo, Rep. of",2020,0
Taxes on Resources,"Congo, Rep. of",1995,0
Taxes on Resources,"Congo, Rep. of",1996,0
Taxes on Resources,"Congo, Rep. of",1997,0
Taxes on Resources,"Congo, Rep. of",1998,0
Taxes on Resources,"Congo, Rep. of",1999,0
Taxes on Resources,"Congo, Rep. of",2000,0
Taxes on Resources,"Congo, Rep. of",2001,0
Taxes on Resources,"Congo, Rep. of",2002,0
Taxes on Resources,"Congo, Rep. of",2003,0
Taxes on Resources,"Congo, Rep. of",2004,0
Taxes on Resources,"Congo, Rep. of",2005,0
Taxes on Resources,"Congo, Rep. of",2006,0
Taxes on Resources,"Congo, Rep. of",2007,0
Taxes on Resources,"Congo, Rep. of",2008,0
Taxes on Resources,"Congo, Rep. of",2009,0
Taxes on Resources,"Congo, Rep. of",2010,0
Taxes on Resources,"Congo, Rep. of",2011,0
Taxes on Resources,"Congo, Rep. of",2012,0
Taxes on Resources,"Congo, Rep. of",2013,0
Taxes on Resources,"Congo, Rep. of",2014,0
Taxes on Resources,"Congo, Rep. of",2015,0
Taxes on Resources,"Congo, Rep. of",2016,0
Taxes on Resources,"Congo, Rep. of",2017,0
Taxes on Resources,"Congo, Rep. of",2018,0
Taxes on Resources,"Congo, Rep. of",2019,0
Taxes on Resources,"Congo, Rep. of",2020,0
Taxes on Transport (excluding fuel for transport),"Congo, Rep. of",2000,0
Taxes on Transport (excluding fuel for transport),"Congo, Rep. of",2001,0
Taxes on Transport (excluding fuel for transport),"Congo, Rep. of",2002,0
Taxes on Transport (excluding fuel for transport),"Congo, Rep. of",2003,0
Taxes on Transport (excluding fuel for transport),"Congo, Rep. of",2004,0
Taxes on Transport (excluding fuel for transport),"Congo, Rep. of",2005,0
Taxes on Transport (excluding fuel for transport),"Congo, Rep. of",2006,0
Taxes on Transport (excluding fuel for transport),"Congo, Rep. of",2007,0
Taxes on Transport (excluding fuel for transport),"Congo, Rep. of",2008,0
Taxes on Transport (excluding fuel for transport),"Congo, Rep. of",2009,0.01
Taxes on Transport (excluding fuel for transport),"Congo, Rep. of",2010,0.01
Taxes on Transport (excluding fuel for transport),"Congo, Rep. of",2011,0.01
Taxes on Transport (excluding fuel for transport),"Congo, Rep. of",2012,0.02
Taxes on Transport (excluding fuel for transport),"Congo, Rep. of",2013,0.02
Taxes on Transport (excluding fuel for transport),"Congo, Rep. of",2014,0.02
Taxes on Transport (excluding fuel for transport),"Congo, Rep. of",2015,0.03
Taxes on Transport (excluding fuel for transport),"Congo, Rep. of",2016,0.03
Taxes on Transport (excluding fuel for transport),"Congo, Rep. of",2017,0.02
Taxes on Transport (excluding fuel for transport),"Congo, Rep. of",2018,0.02
Taxes on Transport (excluding fuel for transport),"Congo, Rep. of",2019,0.02
Taxes on Energy (including fuel for transport),Cook Islands,1995,0
Taxes on Energy (including fuel for transport),Cook Islands,1996,0
Taxes on Energy (including fuel for transport),Cook Islands,1997,0
Taxes on Energy (including fuel for transport),Cook Islands,1998,0
Taxes on Energy (including fuel for transport),Cook Islands,1999,0
Taxes on Energy (including fuel for transport),Cook Islands,2000,0
Taxes on Energy (including fuel for transport),Cook Islands,2001,0
Taxes on Energy (including fuel for transport),Cook Islands,2002,0
Taxes on Energy (including fuel for transport),Cook Islands,2003,0
Taxes on Energy (including fuel for transport),Cook Islands,2004,0
Taxes on Energy (including fuel for transport),Cook Islands,2005,0
Taxes on Energy (including fuel for transport),Cook Islands,2006,0
Taxes on Energy (including fuel for transport),Cook Islands,2007,0
Taxes on Energy (including fuel for transport),Cook Islands,2008,0
Taxes on Energy (including fuel for transport),Cook Islands,2009,0
Taxes on Energy (including fuel for transport),Cook Islands,2010,0
Taxes on Energy (including fuel for transport),Cook Islands,2011,0
Taxes on Energy (including fuel for transport),Cook Islands,2012,0
Taxes on Energy (including fuel for transport),Cook Islands,2013,0
Taxes on Energy (including fuel for transport),Cook Islands,2014,0
Taxes on Energy (including fuel for transport),Cook Islands,2015,0
Taxes on Energy (including fuel for transport),Cook Islands,2016,0
Taxes on Energy (including fuel for transport),Cook Islands,2017,0
Taxes on Energy (including fuel for transport),Cook Islands,2018,0
Taxes on Energy (including fuel for transport),Cook Islands,2019,0
Taxes on Energy (including fuel for transport),Cook Islands,2020,0
Taxes on Pollution,Cook Islands,1995,0
Taxes on Pollution,Cook Islands,1996,0
Taxes on Pollution,Cook Islands,1997,0
Taxes on Pollution,Cook Islands,1998,0
Taxes on Pollution,Cook Islands,1999,0
Taxes on Pollution,Cook Islands,2000,0
Taxes on Pollution,Cook Islands,2001,0
Taxes on Pollution,Cook Islands,2002,0
Taxes on Pollution,Cook Islands,2003,0
Taxes on Pollution,Cook Islands,2004,0
Taxes on Pollution,Cook Islands,2005,0
Taxes on Pollution,Cook Islands,2006,0
Taxes on Pollution,Cook Islands,2007,0
Taxes on Pollution,Cook Islands,2008,0
Taxes on Pollution,Cook Islands,2009,0
Taxes on Pollution,Cook Islands,2010,0
Taxes on Pollution,Cook Islands,2011,0
Taxes on Pollution,Cook Islands,2012,0
Taxes on Pollution,Cook Islands,2013,0
Taxes on Pollution,Cook Islands,2014,0
Taxes on Pollution,Cook Islands,2015,0
Taxes on Pollution,Cook Islands,2016,0
Taxes on Pollution,Cook Islands,2017,0
Taxes on Pollution,Cook Islands,2018,0
Taxes on Pollution,Cook Islands,2019,0
Taxes on Pollution,Cook Islands,2020,0
Taxes on Resources,Cook Islands,1995,0
Taxes on Resources,Cook Islands,1996,0
Taxes on Resources,Cook Islands,1997,0
Taxes on Resources,Cook Islands,1998,0
Taxes on Resources,Cook Islands,1999,0
Taxes on Resources,Cook Islands,2000,0
Taxes on Resources,Cook Islands,2001,0
Taxes on Resources,Cook Islands,2002,0
Taxes on Resources,Cook Islands,2003,0
Taxes on Resources,Cook Islands,2004,0
Taxes on Resources,Cook Islands,2005,0
Taxes on Resources,Cook Islands,2006,0
Taxes on Resources,Cook Islands,2007,0
Taxes on Resources,Cook Islands,2008,0
Taxes on Resources,Cook Islands,2009,0
Taxes on Resources,Cook Islands,2010,0
Taxes on Resources,Cook Islands,2011,0
Taxes on Resources,Cook Islands,2012,0
Taxes on Resources,Cook Islands,2013,0
Taxes on Resources,Cook Islands,2014,0
Taxes on Resources,Cook Islands,2015,0
Taxes on Resources,Cook Islands,2016,0
Taxes on Resources,Cook Islands,2017,0
Taxes on Resources,Cook Islands,2018,0
Taxes on Resources,Cook Islands,2019,0
Taxes on Resources,Cook Islands,2020,0
Environmental Taxes,Costa Rica,1995,0.46
Environmental Taxes,Costa Rica,1996,0.39
Environmental Taxes,Costa Rica,1997,0.37
Environmental Taxes,Costa Rica,1998,0.44
Environmental Taxes,Costa Rica,1999,0.36
Environmental Taxes,Costa Rica,2000,0.45
Environmental Taxes,Costa Rica,2001,1.3
Environmental Taxes,Costa Rica,2008,2.33
Environmental Taxes,Costa Rica,2009,2.47
Environmental Taxes,Costa Rica,2010,2.38
Environmental Taxes,Costa Rica,2011,2.31
Environmental Taxes,Costa Rica,2012,2.23
Environmental Taxes,Costa Rica,2013,2.38
Environmental Taxes,Costa Rica,2014,2.26
Environmental Taxes,Costa Rica,2015,2.35
Environmental Taxes,Costa Rica,2016,2.34
Environmental Taxes,Costa Rica,2017,2.33
Environmental Taxes,Costa Rica,2018,2.27
Environmental Taxes,Costa Rica,2019,2.29
Taxes on Energy (including fuel for transport),Costa Rica,1995,0
Taxes on Energy (including fuel for transport),Costa Rica,1996,0
Taxes on Energy (including fuel for transport),Costa Rica,1997,0
Taxes on Energy (including fuel for transport),Costa Rica,1998,0
Taxes on Energy (including fuel for transport),Costa Rica,1999,0
Taxes on Energy (including fuel for transport),Costa Rica,2000,0
Taxes on Energy (including fuel for transport),Costa Rica,2001,0.85
Taxes on Energy (including fuel for transport),Costa Rica,2002,1.94
Taxes on Energy (including fuel for transport),Costa Rica,2003,2.09
Taxes on Energy (including fuel for transport),Costa Rica,2004,1.94
Taxes on Energy (including fuel for transport),Costa Rica,2005,1.8
Taxes on Energy (including fuel for transport),Costa Rica,2006,1.81
Taxes on Energy (including fuel for transport),Costa Rica,2007,1.8
Taxes on Energy (including fuel for transport),Costa Rica,2008,1.65
Taxes on Energy (including fuel for transport),Costa Rica,2009,1.75
Taxes on Energy (including fuel for transport),Costa Rica,2010,1.62
Taxes on Energy (including fuel for transport),Costa Rica,2011,1.66
Taxes on Energy (including fuel for transport),Costa Rica,2012,1.51
Taxes on Energy (including fuel for transport),Costa Rica,2013,1.62
Taxes on Energy (including fuel for transport),Costa Rica,2014,1.47
Taxes on Energy (including fuel for transport),Costa Rica,2015,1.54
Taxes on Energy (including fuel for transport),Costa Rica,2016,1.5
Taxes on Energy (including fuel for transport),Costa Rica,2017,1.51
Taxes on Energy (including fuel for transport),Costa Rica,2018,1.46
Taxes on Energy (including fuel for transport),Costa Rica,2019,1.48
Taxes on Energy (including fuel for transport),Costa Rica,2020,1.2
Taxes on Pollution,Costa Rica,2008,0
Taxes on Pollution,Costa Rica,2009,0
Taxes on Pollution,Costa Rica,2010,0
Taxes on Pollution,Costa Rica,2011,0
Taxes on Pollution,Costa Rica,2012,0
Taxes on Pollution,Costa Rica,2013,0
Taxes on Pollution,Costa Rica,2014,0
Taxes on Pollution,Costa Rica,2015,0
Taxes on Pollution,Costa Rica,2016,0
Taxes on Pollution,Costa Rica,2017,0
Taxes on Pollution,Costa Rica,2018,0
Taxes on Pollution,Costa Rica,2019,0
Taxes on Resources,Costa Rica,1995,0
Taxes on Resources,Costa Rica,1996,0
Taxes on Resources,Costa Rica,1997,0
Taxes on Resources,Costa Rica,1998,0
Taxes on Resources,Costa Rica,1999,0
Taxes on Resources,Costa Rica,2000,0
Taxes on Resources,Costa Rica,2001,0
Taxes on Resources,Costa Rica,2009,0.03
Taxes on Resources,Costa Rica,2010,0.03
Taxes on Resources,Costa Rica,2011,0.03
Taxes on Resources,Costa Rica,2012,0.03
Taxes on Resources,Costa Rica,2013,0.04
Taxes on Resources,Costa Rica,2014,0.03
Taxes on Resources,Costa Rica,2015,0.03
Taxes on Resources,Costa Rica,2016,0.03
Taxes on Resources,Costa Rica,2017,0.03
Taxes on Resources,Costa Rica,2018,0.03
Taxes on Resources,Costa Rica,2019,0.03
Taxes on Transport (excluding fuel for transport),Costa Rica,1995,0.46
Taxes on Transport (excluding fuel for transport),Costa Rica,1996,0.38
Taxes on Transport (excluding fuel for transport),Costa Rica,1997,0.37
Taxes on Transport (excluding fuel for transport),Costa Rica,1998,0.44
Taxes on Transport (excluding fuel for transport),Costa Rica,1999,0.36
Taxes on Transport (excluding fuel for transport),Costa Rica,2000,0.45
Taxes on Transport (excluding fuel for transport),Costa Rica,2001,0.45
Taxes on Transport (excluding fuel for transport),Costa Rica,2002,0.48
Taxes on Transport (excluding fuel for transport),Costa Rica,2003,0.53
Taxes on Transport (excluding fuel for transport),Costa Rica,2004,0.6
Taxes on Transport (excluding fuel for transport),Costa Rica,2005,0.59
Taxes on Transport (excluding fuel for transport),Costa Rica,2006,0.56
Taxes on Transport (excluding fuel for transport),Costa Rica,2007,0.61
Taxes on Transport (excluding fuel for transport),Costa Rica,2008,0.65
Taxes on Transport (excluding fuel for transport),Costa Rica,2009,0.7
Taxes on Transport (excluding fuel for transport),Costa Rica,2010,0.73
Taxes on Transport (excluding fuel for transport),Costa Rica,2011,0.62
Taxes on Transport (excluding fuel for transport),Costa Rica,2012,0.69
Taxes on Transport (excluding fuel for transport),Costa Rica,2013,0.73
Taxes on Transport (excluding fuel for transport),Costa Rica,2014,0.76
Taxes on Transport (excluding fuel for transport),Costa Rica,2015,0.78
Taxes on Transport (excluding fuel for transport),Costa Rica,2016,0.8
Taxes on Transport (excluding fuel for transport),Costa Rica,2017,0.79
Taxes on Transport (excluding fuel for transport),Costa Rica,2018,0.78
Taxes on Transport (excluding fuel for transport),Costa Rica,2019,0.78
Environmental Taxes,Côte d'Ivoire,1995,0.3
Environmental Taxes,Côte d'Ivoire,1996,0.17
Environmental Taxes,Côte d'Ivoire,1997,0.12
Environmental Taxes,Côte d'Ivoire,1998,0.11
Environmental Taxes,Côte d'Ivoire,1999,0.12
Environmental Taxes,Côte d'Ivoire,2000,0.12
Environmental Taxes,Côte d'Ivoire,2001,0.18
Environmental Taxes,Côte d'Ivoire,2002,0.19
Environmental Taxes,Côte d'Ivoire,2003,0.13
Environmental Taxes,Côte d'Ivoire,2004,0.13
Environmental Taxes,Côte d'Ivoire,2005,0.13
Environmental Taxes,Côte d'Ivoire,2006,0.13
Environmental Taxes,Côte d'Ivoire,2007,0.13
Environmental Taxes,Côte d'Ivoire,2008,0.13
Environmental Taxes,Côte d'Ivoire,2009,0.12
Environmental Taxes,Côte d'Ivoire,2010,0.11
Environmental Taxes,Côte d'Ivoire,2011,0.04
Environmental Taxes,Côte d'Ivoire,2012,0.2
Environmental Taxes,Côte d'Ivoire,2013,0.2
Environmental Taxes,Côte d'Ivoire,2014,0.13
Environmental Taxes,Côte d'Ivoire,2015,0.12
Environmental Taxes,Côte d'Ivoire,2016,0.1
Environmental Taxes,Côte d'Ivoire,2017,0.11
Environmental Taxes,Côte d'Ivoire,2018,0.09
Environmental Taxes,Côte d'Ivoire,2019,0.1
Taxes on Energy (including fuel for transport),Côte d'Ivoire,1995,0
Taxes on Energy (including fuel for transport),Côte d'Ivoire,1996,0
Taxes on Energy (including fuel for transport),Côte d'Ivoire,1997,0
Taxes on Energy (including fuel for transport),Côte d'Ivoire,1998,0
Taxes on Energy (including fuel for transport),Côte d'Ivoire,1999,0
Taxes on Energy (including fuel for transport),Côte d'Ivoire,2000,0
Taxes on Energy (including fuel for transport),Côte d'Ivoire,2001,0
Taxes on Energy (including fuel for transport),Côte d'Ivoire,2002,0
Taxes on Energy (including fuel for transport),Côte d'Ivoire,2003,0
Taxes on Energy (including fuel for transport),Côte d'Ivoire,2004,0
Taxes on Energy (including fuel for transport),Côte d'Ivoire,2005,0
Taxes on Energy (including fuel for transport),Côte d'Ivoire,2006,0
Taxes on Energy (including fuel for transport),Côte d'Ivoire,2007,0
Taxes on Energy (including fuel for transport),Côte d'Ivoire,2008,0
Taxes on Energy (including fuel for transport),Côte d'Ivoire,2009,0
Taxes on Energy (including fuel for transport),Côte d'Ivoire,2010,0
Taxes on Energy (including fuel for transport),Côte d'Ivoire,2011,0
Taxes on Energy (including fuel for transport),Côte d'Ivoire,2012,0
Taxes on Energy (including fuel for transport),Côte d'Ivoire,2013,0
Taxes on Energy (including fuel for transport),Côte d'Ivoire,2014,0
Taxes on Energy (including fuel for transport),Côte d'Ivoire,2015,0
Taxes on Energy (including fuel for transport),Côte d'Ivoire,2016,0
Taxes on Energy (including fuel for transport),Côte d'Ivoire,2017,0
Taxes on Energy (including fuel for transport),Côte d'Ivoire,2018,0
Taxes on Energy (including fuel for transport),Côte d'Ivoire,2019,0
Taxes on Pollution,Côte d'Ivoire,1995,0
Taxes on Pollution,Côte d'Ivoire,1996,0
Taxes on Pollution,Côte d'Ivoire,1997,0
Taxes on Pollution,Côte d'Ivoire,1998,0
Taxes on Pollution,Côte d'Ivoire,1999,0
Taxes on Pollution,Côte d'Ivoire,2000,0
Taxes on Pollution,Côte d'Ivoire,2001,0
Taxes on Pollution,Côte d'Ivoire,2002,0
Taxes on Pollution,Côte d'Ivoire,2003,0
Taxes on Pollution,Côte d'Ivoire,2004,0
Taxes on Pollution,Côte d'Ivoire,2005,0
Taxes on Pollution,Côte d'Ivoire,2006,0
Taxes on Pollution,Côte d'Ivoire,2007,0
Taxes on Pollution,Côte d'Ivoire,2008,0
Taxes on Pollution,Côte d'Ivoire,2009,0
Taxes on Pollution,Côte d'Ivoire,2010,0
Taxes on Pollution,Côte d'Ivoire,2011,0
Taxes on Pollution,Côte d'Ivoire,2012,0
Taxes on Pollution,Côte d'Ivoire,2013,0
Taxes on Pollution,Côte d'Ivoire,2014,0
Taxes on Pollution,Côte d'Ivoire,2015,0
Taxes on Pollution,Côte d'Ivoire,2016,0
Taxes on Pollution,Côte d'Ivoire,2017,0
Taxes on Pollution,Côte d'Ivoire,2018,0.02
Taxes on Pollution,Côte d'Ivoire,2019,0.03
Taxes on Resources,Côte d'Ivoire,1995,0.29
Taxes on Resources,Côte d'Ivoire,1996,0.15
Taxes on Resources,Côte d'Ivoire,1997,0.09
Taxes on Resources,Côte d'Ivoire,1998,0.09
Taxes on Resources,Côte d'Ivoire,1999,0.08
Taxes on Resources,Côte d'Ivoire,2000,0.08
Taxes on Resources,Côte d'Ivoire,2001,0.14
Taxes on Resources,Côte d'Ivoire,2002,0.12
Taxes on Resources,Côte d'Ivoire,2003,0.09
Taxes on Resources,Côte d'Ivoire,2004,0.08
Taxes on Resources,Côte d'Ivoire,2005,0.09
Taxes on Resources,Côte d'Ivoire,2006,0.08
Taxes on Resources,Côte d'Ivoire,2007,0.09
Taxes on Resources,Côte d'Ivoire,2008,0.08
Taxes on Resources,Côte d'Ivoire,2009,0.06
Taxes on Resources,Côte d'Ivoire,2010,0.04
Taxes on Resources,Côte d'Ivoire,2011,0.03
Taxes on Resources,Côte d'Ivoire,2012,0.14
Taxes on Resources,Côte d'Ivoire,2013,0.13
Taxes on Resources,Côte d'Ivoire,2014,0.05
Taxes on Resources,Côte d'Ivoire,2015,0.04
Taxes on Resources,Côte d'Ivoire,2016,0.04
Taxes on Resources,Côte d'Ivoire,2017,0.05
Taxes on Resources,Côte d'Ivoire,2018,0.01
Taxes on Resources,Côte d'Ivoire,2019,0.01
Taxes on Transport (excluding fuel for transport),Côte d'Ivoire,1995,0
Taxes on Transport (excluding fuel for transport),Côte d'Ivoire,1996,0.02
Taxes on Transport (excluding fuel for transport),Côte d'Ivoire,1997,0.02
Taxes on Transport (excluding fuel for transport),Côte d'Ivoire,1998,0.02
Taxes on Transport (excluding fuel for transport),Côte d'Ivoire,1999,0.04
Taxes on Transport (excluding fuel for transport),Côte d'Ivoire,2000,0.04
Taxes on Transport (excluding fuel for transport),Côte d'Ivoire,2001,0.04
Taxes on Transport (excluding fuel for transport),Côte d'Ivoire,2002,0.06
Taxes on Transport (excluding fuel for transport),Côte d'Ivoire,2003,0.05
